127.0.0.1 - - [07/Dec/2021:09:21:03 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:21:35 +0100] "GET /pets HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:21:58 +0100] "GET /owners HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:06 +0100] "DELETE /owners/2 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:10 +0100] "GET /owners HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:18 +0100] "DELETE /owners HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:22 +0100] "DELETE /owners/1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:27 +0100] "GET /owners HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:23:37 +0100] "GET /pets HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:24:13 +0100] "GET /pets HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:24:23 +0100] "GET /owners HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:24:27 +0100] "GET /owners HTTP/1.1" 200 12
